song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,album_label,ISRC,yearly_streams,artist_ids
TE MUDASTE,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,5RubKOuDoPn5Kj5TLVxSxY,Rimas Entertainment LLC,QMFME2066837,70697730,4q3ewBCX7sLwd24euuV69X
HACIENDO QUE ME AMAS,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,26QApq0cuO9brJigr0C0W4,Rimas Entertainment LLC,QMFME2066843,42870873,4q3ewBCX7sLwd24euuV69X
TE DESEO LO MEJOR,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,23XjN1s3DZC8Q9ZwuorYY4,Rimas Entertainment LLC,QMFME2066841,21673177,4q3ewBCX7sLwd24euuV69X
EL MUNDO ES MÍO,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,36DHxTW2xdr9GG15T9oK9L,Rimas Entertainment LLC,QMFME2066836,12507010,4q3ewBCX7sLwd24euuV69X
YO VISTO ASÍ,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,5fROvzNghPid8mbKNDYvpJ,Rimas Entertainment LLC,QMFME2066842,34477505,4q3ewBCX7sLwd24euuV69X
HOY COBRÉ,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,0tjZv2hChdHZCW1zFXpy1J,Rimas Entertainment LLC,QMFME2066838,13833217,4q3ewBCX7sLwd24euuV69X
MALDITA POBREZA,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,0Lsis3LB0XAK6XlTHXaJk2,Rimas Entertainment LLC,QMFME2066839,13534249,4q3ewBCX7sLwd24euuV69X
BOOKER T,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,26w9NTiE9NGjW1ZvIOd1So,Rimas Entertainment LLC,QMFME2066844,27079826,4q3ewBCX7sLwd24euuV69X
LA DROGA,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,67ACYA3UI6QMNtHX6b34wX,Rimas Entertainment LLC,QMFME2066845,15366166,4q3ewBCX7sLwd24euuV69X
ANTES QUE SE ACABE,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,7kjEqI6eZ7YlFrGhxixnlN,Rimas Entertainment LLC,QMFME2066849,12175262,4q3ewBCX7sLwd24euuV69X
TRELLAS,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,09WAnxdBuebQopKhJT3oZS,Rimas Entertainment LLC,QMFME2066846,10733416,4q3ewBCX7sLwd24euuV69X
Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",pop,Pop,Plastic Hearts,2020-11-27,2Oycxb8QbPkpHTo8ZrmG0B,RCA Records Label,USRC12003364,74737198,"5YGY8feqx7naU7z4HrwZM6, 6M2wZ9GZgrQXHCFfjv46we"
