artist_1,artist_2,count,song_ids
Lil Uzi Vert,NAV,1,['1Faq8G2y56A8fRv7HsLq25']
Kodak Black,XXXTENTACION,1,['40oKW22ZNNkEdZLJTScaQI']
AFROJACK,Charli xcx,1,['0tPQPaOKM32WgMSbPCYyRH']
Big Sean,Calvin Harris,1,['5bcTCxgc7xVfSaMV3RuVke']
AFROJACK,French Montana,1,['0tPQPaOKM32WgMSbPCYyRH']
Charli xcx,David Guetta,1,['0tPQPaOKM32WgMSbPCYyRH']
Charli xcx,French Montana,1,['0tPQPaOKM32WgMSbPCYyRH']
David Guetta,French Montana,1,['0tPQPaOKM32WgMSbPCYyRH']
Anne-Marie,Clean Bandit,1,['5knuzwU65gJK7IF5yJsuaW']
Anne-Marie,Sean Paul,1,['5knuzwU65gJK7IF5yJsuaW']
Clean Bandit,Sean Paul,1,['5knuzwU65gJK7IF5yJsuaW']
Taylor Swift,ZAYN,1,['3NdDpSvN911VPGivFlV5d0']
Lil Uzi Vert,Migos,1,['4Km5HrUvYTaSUfiSGPJeQR']
Trippie Redd,XXXTENTACION,1,['7AQim7LbvFVZJE3O8TYgf2']
Liam Payne,Quavo,1,['6EpRaXYhGOB3fj4V2uDkMJ']
21 Savage,Offset,1,['5u6vkDnOyaf8LsteDAj2ub']
DJ Khaled,Rihanna,1,['1OAh8uOEOvTDqkKFsKksCi']
Bryson Tiller,Rihanna,1,['1OAh8uOEOvTDqkKFsKksCi']
Bryson Tiller,DJ Khaled,1,['1OAh8uOEOvTDqkKFsKksCi']
Rik Rok,Shaggy,1,['1lzr43nnXAijIGYnCT8M8H']
CNCO,Little Mix,1,['5PB8zB1MOZASboLquvinMF']
Dua Lipa,Martin Garrix,1,['3ebXMykcMXOcLeJ9xZ17XH']
David Guetta,Justin Bieber,1,['3A7qX2QjDlPnazUsRk5y0M']
Avicii,Sandro Cavazza,1,['6Pgkp4qUoTmJIPn7ReaGxL']
Lil Uzi Vert,Oh Wonder,1,['2eAZfqOm4EnOF9VvN50Tyc']
Charlie Puth,G-Eazy,1,['3qk4wRMDlaeagZGjSYbsOV']
Beyoncé,Willy William,1,['7fwXWKdDNI5IutOMc5OKYw']
Beyoncé,J Balvin,1,['7fwXWKdDNI5IutOMc5OKYw']
Lil Wayne,Quavo,1,['3DXncPQOG4VBw3QHh3S817']
Bruno Mars,Mark Ronson,1,['32OlwWuMpZ6b0aN2RZOeMS']
Justin Bieber,Lil Wayne,1,['3DXncPQOG4VBw3QHh3S817']
CNCO,Yandel,1,['209gZgcfLq2aUuu51vOWBl']
Fuse ODG,Major Lazer,1,['0L7loeTIg6akW84aEQZpCT']
Fuse ODG,Nyla,1,['0L7loeTIg6akW84aEQZpCT']
Major Lazer,Nyla,1,['0L7loeTIg6akW84aEQZpCT']
Cheat Codes,Demi Lovato,1,['1louJpMmzEicAn7lzDalPW']
DJ Khaled,Lil Wayne,1,['3DXncPQOG4VBw3QHh3S817']
Bebe Rexha,Digital Farm Animals,1,['7F9vK8hNFMml4GtHsaXui6']
Bebe Rexha,Louis Tomlinson,1,['7F9vK8hNFMml4GtHsaXui6']
Digital Farm Animals,Louis Tomlinson,1,['7F9vK8hNFMml4GtHsaXui6']
Huncho Jack,Offset,1,['6urLjX35oXXRYtcH1b3dCh']
Chance the Rapper,Lil Wayne,1,['3DXncPQOG4VBw3QHh3S817']
Nicki Minaj,Yo Gotti,1,['4knL4iPxPOZjQzTUlELGSY']
